,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
37,paamiut,64,GL,1543810860,96,61.99,-49.67,29.94,3.02
38,naze,75,NG,1543806000,94,5.43,7.07,77.0,3.69
39,anchorage,90,US,1543809360,75,61.22,-149.89,34.52,5.82
40,khatanga,56,RU,1543809691,37,71.98,102.47,-24.24,5.14
41,juneau,1,US,1543809360,100,58.3,-134.42,21.92,5.7
42,saldanha,56,PT,1543809940,97,41.42,-6.55,38.36,2.8
43,luorong,56,CN,1543810862,89,24.41,109.6,73.46,10.74
44,port alfred,8,ZA,1543809930,98,-33.59,26.89,63.69,10.4
45,saint-philippe,90,CA,1543808820,93,45.36,-73.48,41.36,5.82
46,atuona,8,PF,1543810004,100,-9.8,-139.03,81.38,12.3
47,nicoya,75,CR,1543809600,94,10.15,-85.45,77.0,3.36
48,vila velha,75,BR,1543806000,88,-3.71,-38.6,80.6,8.05
49,changping,0,CN,1543809600,11,40.22,116.23,44.6,11.18
50,esperance,40,TT,1543806000,94,10.24,-61.45,75.2,5.93
51,bambous virieux,20,MU,1543806000,83,-20.34,57.76,73.4,1.12
52,caravelas,92,BR,1543809764,100,-17.73,-39.27,74.36,8.72
53,lorengau,12,PG,1543809994,99,-2.02,147.27,84.84,7.16
54,auki,0,NG,1543810863,57,12.18,6.51,62.61,5.26
55,puerto ayora,0,EC,1543809957,100,-0.74,-90.35,71.79,12.75
56,mar del plata,0,AR,1543809532,39,-46.43,-67.52,66.03,12.75
57,phonhong,20,LA,1543809600,58,18.5,102.42,87.8,4.7
58,znamenskoye,88,RU,1543810863,76,57.13,73.82,5.64,3.02
59,salalah,0,OM,1543805400,46,17.01,54.1,73.4,5.82
60,hofn,64,IS,1543809684,100,64.25,-15.21,31.52,20.47
61,touros,40,BR,1543806000,94,-5.2,-35.46,78.8,6.93
62,veracruz,40,VE,1543809600,88,7.66,-72.25,75.2,0.11
63,flin flon,76,CA,1543810013,88,54.77,-101.88,14.51,2.68
64,mahebourg,20,MU,1543806000,83,-20.41,57.7,73.4,1.12
65,aklavik,90,CA,1543806000,86,68.22,-135.01,28.4,3.36
66,rawson,8,AR,1543809492,41,-43.3,-65.11,60.23,2.46
67,kumbo,100,CM,1543810865,50,6.21,10.69,74.27,2.01
68,lavrentiya,44,RU,1543810865,100,65.58,-170.99,23.24,12.08
69,clyde river,90,CA,1543806000,84,70.47,-68.59,-0.41,16.11
70,doha,90,QA,1543807620,100,25.29,51.53,69.8,6.93
71,faya,0,SA,1543806000,49,18.39,42.45,50.0,2.46
72,zhigansk,0,RU,1543810866,0,66.77,123.37,-48.99,2.35
73,amarillo,90,US,1543809300,95,35.21,-101.83,39.02,10.74
74,souillac,90,FR,1543807800,93,45.6,-0.6,57.2,14.99
75,kuytun,48,RU,1543810867,46,54.34,101.51,-2.06,5.7
76,pucallpa,40,PE,1543809600,88,-8.38,-74.54,78.8,3.36
77,pechenga,76,RU,1543810867,91,58.89,41.46,20.31,8.72
78,airai,0,TL,1543809444,74,-8.93,125.41,82.37,1.68
79,tuktoyaktuk,90,CA,1543806000,92,69.44,-133.03,17.6,16.11
80,san nicolas,0,HN,1543810868,74,14.94,-88.33,69.68,1.9
81,pisco,0,PE,1543806000,88,-13.71,-76.2,66.2,11.41
82,pamanukan,56,ID,1543810868,100,-6.28,107.82,82.28,4.81
83,belmonte,88,PT,1543810244,93,40.36,-7.35,42.23,3.24
84,broken hill,0,AU,1543806000,27,-31.97,141.45,75.2,11.41
85,punta arenas,75,CL,1543806000,70,-53.16,-70.91,46.4,8.05
86,castro,0,CL,1543806000,81,-42.48,-73.76,48.2,4.7
87,hilo,90,US,1543809180,81,19.71,-155.08,73.04,9.17
88,loukhi,92,RU,1543810870,78,66.08,33.04,22.61,7.49
89,qaanaaq,0,GL,1543810870,100,77.48,-69.36,-9.71,9.73
90,petrovsk-zabaykalskiy,36,RU,1543810870,41,51.27,108.84,-0.84,10.4
91,xuanzhou,100,CN,1543810871,100,30.95,118.78,60.68,3.91
92,vangaindrano,24,MG,1543810871,93,-23.35,47.6,65.18,2.57
93,sao joao da barra,92,BR,1543810871,100,-21.64,-41.05,74.72,6.6
94,umm kaddadah,20,SD,1543810193,26,13.6,26.69,61.67,11.18
95,westerkappeln,75,DE,1543809000,87,52.31,7.88,55.4,13.87
96,talnakh,12,RU,1543810872,0,69.49,88.39,-36.44,2.24
97,vila franca do campo,75,PT,1543807800,100,37.72,-25.43,64.4,13.87
98,shimoda,0,JP,1543806000,72,34.7,138.93,66.2,4.7
99,richards bay,88,ZA,1543809766,99,-28.77,32.06,69.77,3.36
100,puerto leguizamo,32,CO,1543810873,57,-0.19,-74.78,81.78,2.57
101,anzio,0,IT,1543807200,93,41.45,12.63,59.0,3.36
102,mana,0,RS,1543809600,66,43.52,20.24,35.6,5.82
103,turinsk,56,RU,1543810874,76,58.04,63.7,5.6,2.46
104,srednekolymsk,56,RU,1543809685,75,67.46,153.71,-2.96,4.14
105,ormara,8,PK,1543810874,93,25.21,64.64,70.71,10.63
106,faanui,44,PF,1543809699,100,-16.48,-151.75,82.28,17.22
107,kamaishi,0,JP,1543809600,50,39.28,141.86,53.6,1.12
108,coihaique,0,CL,1543806000,46,-45.58,-72.07,55.4,1.12
109,praia,92,BR,1543810875,98,-20.25,-43.81,64.82,2.8
110,bluff,0,AU,1543810875,26,-23.58,149.07,103.56,4.59
111,chicama,40,PE,1543809600,88,-7.84,-79.15,68.0,4.7
112,anloga,20,GH,1543806000,83,5.79,0.9,82.4,4.7
113,chuy,0,UY,1543810823,87,-33.69,-53.46,52.31,10.96
114,ko samui,20,TH,1543809600,74,9.54,99.94,87.8,6.93
115,calvinia,0,ZA,1543810876,85,-31.47,19.78,38.31,2.68
116,pangnirtung,80,CA,1543809442,75,66.15,-65.72,14.91,6.26
117,new norfolk,75,AU,1543807920,48,-42.78,147.06,60.8,20.8
118,novocheremshansk,76,RU,1543810876,85,54.35,50.17,15.86,7.16
119,maseru,8,LS,1543810877,52,-29.31,27.48,39.44,2.46
120,makakilo city,1,US,1543805820,58,21.35,-158.09,78.98,10.29
121,bayonet point,90,US,1543810500,94,28.33,-82.68,75.2,5.82
122,kavaratti,36,IN,1543810276,100,10.57,72.64,83.0,4.59
123,killybegs,88,IE,1543810877,100,54.63,-8.45,44.79,9.51
124,barrow,68,AR,1543810878,42,-38.31,-60.23,58.34,11.97
125,hasaki,68,JP,1543809600,67,35.73,140.83,59.0,1.12
126,katsuura,75,JP,1543807680,93,33.93,134.5,60.8,8.05
127,krasnyy chikoy,44,RU,1543810878,42,50.36,108.75,-1.79,8.05
128,georgetown,0,GY,1543809600,94,6.8,-58.16,71.6,4.7
129,fereydunshahr,0,IR,1543810879,65,32.94,50.12,12.21,1.9
130,los llanos de aridane,8,ES,1543809600,68,28.66,-17.92,66.2,8.05
131,talas,32,TR,1543809000,100,38.69,35.55,26.6,3.36
132,victoria,75,BN,1543807800,70,5.28,115.24,89.6,2.24
133,lompoc,1,US,1543805880,71,34.64,-120.46,51.98,5.82
134,flinders,0,AU,1543809600,20,-34.58,150.85,82.4,21.92
135,deloraine,44,CA,1543810880,84,49.18,-100.5,16.44,3.58
136,tiksi,32,RU,1543809997,74,71.64,128.87,-6.38,10.29
137,klamath falls,1,US,1543805580,91,42.22,-121.78,19.04,4.7
138,ribeira grande,92,PT,1543810881,100,38.52,-28.7,63.02,22.48
139,zhicheng,76,CN,1543810881,76,35.04,112.59,45.06,3.91
140,malente,75,DE,1543809000,93,54.17,10.56,51.8,10.29
141,ancud,0,CL,1543806000,81,-41.87,-73.83,48.2,4.7
142,sinnamary,88,GF,1543809688,100,5.38,-52.96,76.83,8.95
143,roald,64,NO,1543809000,93,62.58,6.12,39.2,4.7
144,ponta do sol,92,BR,1543809427,98,-20.63,-46.0,66.17,2.8
145,maniitsoq,76,GL,1543810882,100,65.42,-52.9,19.64,7.61
146,tiarei,40,PF,1543809600,70,-17.53,-149.33,84.2,3.36
147,santa rosalia,0,IT,1543809000,87,38.07,13.27,51.8,5.82
148,oranjestad,20,AW,1543809600,78,12.52,-70.03,78.8,10.29
149,honiara,92,SB,1543810827,75,-9.43,159.96,83.99,3.02
150,deputatskiy,32,RU,1543810298,39,69.3,139.9,-26.63,2.57
151,isangel,56,VU,1543810851,100,-19.55,169.27,79.22,13.65
152,ornskoldsvik,92,SE,1543809000,93,63.29,18.72,41.0,17.22
153,nikolskoye,75,RU,1543807800,79,59.7,30.79,21.2,6.71
154,amapa,20,HN,1543809600,78,15.09,-87.97,78.8,6.93
155,filimonovo,88,RU,1543810884,88,54.21,39.6,19.86,7.94
156,ilulissat,80,GL,1543805400,73,69.22,-51.1,19.4,18.34
157,kichera,8,RU,1543810885,100,55.93,110.1,-15.51,3.91
158,port hardy,5,CA,1543806000,100,50.7,-127.42,30.2,4.7
159,muyezerskiy,92,RU,1543810885,75,63.93,31.65,20.72,5.82
160,barra dos coqueiros,75,BR,1543809600,78,-10.91,-37.04,80.6,9.17
161,gazojak,92,TM,1543810885,77,41.19,61.4,26.66,7.16
162,mahibadhoo,36,MV,1543810361,99,3.78,72.97,83.76,14.99
163,majene,12,ID,1543810886,98,-3.54,118.97,84.17,3.36
164,mezen,88,RU,1543810889,70,65.85,44.24,26.75,10.96
165,jutai,64,BR,1543810889,98,-1.71,-47.89,74.76,2.35
166,zhaotong,80,CN,1543810890,89,27.34,103.71,44.48,3.24
167,vaini,20,IN,1543809600,60,15.34,74.49,75.2,9.17
168,cabedelo,40,BR,1543809600,88,-6.97,-34.84,78.8,4.7
169,lagoa,0,PT,1543807800,87,37.14,-8.45,48.2,5.82
170,padang,36,ID,1543810121,100,-0.92,100.36,81.51,2.13
171,fort nelson,20,CA,1543806000,77,58.81,-122.69,1.4,2.24
172,kieta,36,PG,1543810890,91,-6.22,155.63,84.44,3.91
173,grindavik,20,IS,1543809600,73,63.84,-22.43,24.8,10.29
174,adelaide,20,AU,1543809600,60,-34.93,138.6,68.0,14.99
175,redcar,40,GB,1543807200,81,54.62,-1.06,51.8,18.34
176,batagay-alyta,48,RU,1543810891,84,67.8,130.41,-20.69,3.13
177,lamar,90,US,1543805580,71,38.09,-102.62,28.04,9.4
178,bryan,1,US,1543809300,61,30.67,-96.37,53.96,8.05
179,mehamn,0,NO,1543809693,100,71.03,27.85,30.98,17.22
180,laguna,8,MX,1543809697,79,27.52,-110.01,58.97,3.58
181,beyneu,76,KZ,1543810366,74,45.32,55.19,24.68,8.28
182,xining,56,CN,1543810892,19,36.62,101.77,32.64,12.97
183,hay river,20,CA,1543806000,84,60.82,-115.79,3.2,4.7
184,waiouru,64,NZ,1543810892,73,-39.48,175.67,65.9,8.61
185,dikson,8,RU,1543809681,94,73.51,80.55,-15.38,28.52
186,barda,64,RU,1543810893,78,56.93,55.59,9.2,5.14
187,shahr-e babak,0,IR,1543810893,67,30.12,55.12,31.97,3.13
188,hellin,0,ES,1543806000,93,38.51,-1.7,41.0,3.36
189,angoche,0,MZ,1543810747,100,-16.23,39.91,78.68,8.28
190,bihoro,0,JP,1543809600,45,43.75,144.14,50.0,1.12
191,prince rupert,1,CA,1543809600,100,54.32,-130.32,32.0,6.93
192,pueblo rico,92,CO,1543810894,98,5.22,-76.03,64.37,1.34
193,cape town,90,ZA,1543809720,93,-33.93,18.42,60.8,11.41
194,krasnoturansk,75,RU,1543809600,78,54.32,91.57,10.4,4.47
195,vanimo,36,PG,1543810894,100,-2.67,141.3,83.31,6.6
196,carutapera,100,BR,1543810349,87,-1.2,-46.02,80.48,4.7
197,cherskiy,44,RU,1543809915,65,68.75,161.3,-8.36,5.37
198,san cristobal,90,EC,1543806000,82,-0.39,-78.55,55.4,2.24
199,zatoka,75,PL,1543809600,93,50.04,20.52,37.4,2.24
200,tasiilaq,88,GL,1543809000,73,65.61,-37.64,21.2,8.05
201,port-gentil,44,GA,1543810105,100,-0.72,8.78,77.24,3.69
202,brookings,90,US,1543809360,88,44.31,-96.8,28.76,12.75
203,spolaita,20,GR,1543809000,81,38.7,21.35,48.2,10.29
204,kropotkin,56,RU,1543810896,72,45.43,40.58,16.49,6.49
205,boguchany,44,RU,1543810896,29,58.38,97.46,-20.06,3.69
206,luganville,88,VU,1543810896,100,-15.51,167.18,82.73,13.09
207,geraldton,90,CA,1543809600,92,49.72,-86.95,15.8,12.75
208,dzaoudzi,20,YT,1543809600,74,-12.79,45.27,84.2,12.75
209,jamestown,0,AU,1543810897,39,-33.21,138.6,75.08,11.3
210,kapchorwa,48,UG,1543810897,97,1.4,34.45,59.19,2.46
211,lasa,75,CY,1543809600,77,34.92,32.53,64.4,1.12
212,baykit,44,RU,1543810898,45,61.68,96.39,-28.88,3.13
213,longyearbyen,75,NO,1543809000,73,78.22,15.63,26.6,34.45
214,kurumkan,0,RU,1543810898,62,54.33,110.32,-16.19,2.57
215,guerrero negro,20,MX,1543809702,86,27.97,-114.04,59.64,11.74
216,cap-aux-meules,90,CA,1543807380,100,47.38,-61.86,32.0,21.92
217,buraydah,75,SA,1543806000,100,26.33,43.97,59.0,6.93
218,yatou,64,CM,1543810899,100,3.63,9.81,79.49,9.28
219,cloquet,90,US,1543810500,69,46.72,-92.46,30.2,9.17
220,benicarlo,0,ES,1543810900,100,40.42,0.43,62.57,1.34
221,havelock,90,US,1543809360,86,34.88,-76.9,71.06,13.87
222,fortuna,0,ES,1543807800,39,38.18,-1.13,66.2,16.11
223,turukhansk,8,RU,1543810901,0,65.8,87.96,-44.81,3.24
224,thompson,75,CA,1543806000,85,55.74,-97.86,15.8,2.8
225,darhan,44,MN,1543810901,53,49.49,105.92,2.31,4.14
226,san carlos de bariloche,0,AR,1543809600,61,-41.13,-71.31,46.4,4.7
227,rocha,0,UY,1543809546,80,-34.48,-54.34,45.33,5.14
228,cedar falls,90,US,1543810500,90,42.53,-92.45,32.36,17.22
229,sistranda,75,NO,1543809000,93,63.73,8.83,41.0,5.82
230,tura,0,IN,1543810902,82,25.52,90.21,66.93,3.47
231,untersiggenthal,75,CH,1543809000,87,47.5,8.26,53.6,6.93
232,dingle,48,PH,1543809977,77,11.0,122.67,83.09,11.97
233,saint joseph,90,US,1543810500,92,39.77,-94.85,32.0,12.75
234,acari,0,BR,1543810903,86,-6.44,-36.64,72.56,7.05
235,maxixe,0,MZ,1543810903,100,-23.86,35.35,72.92,9.95
236,severo-kurilsk,24,RU,1543810824,100,50.68,156.12,29.45,13.31
237,mumford,32,GH,1543810904,96,5.26,-0.76,77.46,6.38
238,arlit,0,NE,1543809749,48,18.74,7.39,49.97,2.68
239,duluth,90,US,1543810500,69,46.77,-92.13,30.2,9.17
240,pitimbu,40,BR,1543809600,88,-7.47,-34.81,78.8,4.7
241,port keats,12,AU,1543810891,73,-14.25,129.55,95.15,6.6
242,hirara,75,JP,1543809600,100,24.8,125.28,77.0,10.29
243,ahipara,0,NZ,1543810905,89,-35.17,173.16,65.27,17.22
244,alice springs,68,AU,1543807800,57,-23.7,133.88,80.6,5.82
245,port-cartier,90,CA,1543808280,92,50.03,-66.88,26.6,12.75
246,levokumskoye,64,RU,1543810905,94,44.82,44.66,24.68,3.69
247,baie-comeau,90,CA,1543809780,92,49.22,-68.15,28.4,18.34
248,west warwick,90,US,1543810500,100,41.71,-71.52,57.02,6.93
249,kavieng,68,PG,1543810837,100,-2.57,150.8,85.43,5.82
250,campos belos,80,BR,1543810906,99,-13.04,-46.77,69.14,6.15
251,bereda,92,ES,1543809600,87,43.27,-7.54,60.8,12.75
252,mugan,8,CN,1543810906,22,35.94,101.38,25.31,8.05
253,qingdao,90,CN,1543809600,87,36.09,120.35,55.4,8.95
254,tautira,40,PF,1543809600,70,-17.73,-149.15,84.2,3.36
255,mount isa,0,AU,1543807800,12,-20.73,139.49,104.0,13.87
256,whitehorse,90,CA,1543806300,85,60.72,-135.06,15.8,13.87
257,luderitz,20,NA,1543810908,81,-26.65,15.16,57.44,17.0
258,codrington,40,AU,1543809600,54,-28.95,153.24,82.4,11.41
259,hambantota,40,LK,1543806600,94,6.12,81.12,80.6,2.24
260,norilsk,12,RU,1543810909,0,69.35,88.2,-36.44,2.24
261,saskylakh,44,RU,1543810909,57,71.97,114.09,-11.19,5.37
262,tingo maria,92,PE,1543810910,97,-9.29,-76.01,62.84,1.34
263,aguimes,20,ES,1543809600,88,27.91,-15.45,62.6,9.17
264,bolshaya glushitsa,76,RU,1543810910,94,50.24,43.59,23.73,3.13
265,bay roberts,90,CA,1543806000,100,47.58,-53.28,32.0,5.82
266,valley city,90,US,1543809300,100,46.92,-98.0,21.2,9.17
267,guanare,0,VE,1543806000,83,9.04,-69.74,73.4,6.49
268,namatanai,64,PG,1543810911,96,-3.66,152.44,85.43,8.28
269,toora-khem,44,RU,1543810911,49,52.47,96.11,-5.52,2.8
270,cermik,40,TR,1543809000,94,38.14,39.45,32.0,5.82
271,fukuma,75,JP,1543809600,77,33.77,130.47,66.2,16.11
272,bagdarin,24,RU,1543810912,20,54.44,113.59,-16.14,8.61
273,waingapu,36,ID,1543810912,91,-9.65,120.26,81.56,1.9
274,wajima,0,JP,1543809600,77,37.4,136.9,59.0,3.36
275,sechura,0,PE,1543810912,87,-5.56,-80.82,68.28,12.19
276,luau,64,CD,1543810913,96,-10.7,22.23,65.36,2.68
277,upernavik,76,GL,1543810913,100,72.79,-56.15,20.94,7.61
278,alofi,76,NU,1543806000,70,-19.06,-169.92,84.2,8.05
279,rockland,88,US,1543810020,100,42.13,-70.92,57.02,8.05
280,sobolevo,80,RU,1543810893,90,54.43,31.9,20.31,11.52
281,salina cruz,0,MX,1543810914,92,16.18,-95.2,73.82,3.8
282,khandagayty,20,MN,1543810914,56,50.73,92.07,-14.97,2.57
283,vao,68,EE,1543810914,93,59.1,26.19,18.51,9.51
284,quthing,0,LS,1543810914,65,-30.4,27.7,40.61,1.9
285,kununurra,32,AU,1543809600,29,-15.77,128.74,104.0,4.7
286,surt,88,LY,1543810915,100,31.21,16.59,60.86,11.97
287,hamilton,90,CA,1543810380,100,43.26,-79.87,46.4,6.93
288,san quintin,0,PH,1543809709,58,17.54,120.52,83.76,3.8
289,oxbow,90,CA,1543809600,92,49.23,-102.17,15.8,3.36
290,grahamstown,0,ZA,1543810916,79,-33.31,26.53,55.86,5.7
291,tra vinh,44,VN,1543810916,68,9.93,106.35,87.59,6.6
292,imeni poliny osipenko,88,RU,1543810916,77,52.42,136.49,4.79,3.24
293,bambanglipuro,92,ID,1543810357,87,-7.95,110.28,77.87,4.14
294,college,75,US,1543809360,91,64.86,-147.8,30.02,5.48
295,chokurdakh,44,RU,1543810917,66,70.62,147.9,-8.36,8.84
296,stara zagora,5,BG,1543809600,100,42.42,25.63,21.2,2.35
297,fairbanks,75,US,1543809360,91,64.84,-147.72,14.0,5.48
298,khandyga,0,RU,1543810867,0,62.65,135.58,-48.59,2.68
299,limbang,75,BN,1543809600,74,4.75,115.01,89.6,5.82
300,aleksandrovsk,56,RU,1543810917,79,59.16,57.56,10.68,4.92
301,kodiak,90,US,1543809300,92,39.95,-94.76,30.2,12.75
302,male,48,UA,1543810918,83,50.74,33.7,14.51,9.73
303,beipiao,68,CN,1543810918,31,41.8,120.76,31.83,18.23
304,chernaya kholunitsa,80,RU,1543810918,83,58.85,51.72,13.07,10.4
305,bethel,1,US,1543809360,95,60.79,-161.76,32.0,12.75
306,acapulco,20,MX,1543808700,94,16.86,-99.88,78.8,1.79
307,finnsnes,76,NO,1543809000,100,69.23,17.98,32.0,17.22
308,kodinsk,44,RU,1543810919,26,58.6,99.18,-17.67,4.59
309,panchagarh,24,BD,1543810920,59,26.33,88.56,66.53,4.81
310,sylvan lake,90,CA,1543809600,92,52.31,-114.09,24.8,10.29
311,kahului,40,US,1543809360,73,20.89,-156.47,75.92,6.93
312,sergeyevka,20,KZ,1543810920,73,53.88,67.42,12.71,5.26
313,smithers,90,CA,1543806000,79,54.78,-127.17,26.6,3.36
314,chapais,90,CA,1543808160,92,49.78,-74.86,21.2,4.7
315,pevek,68,RU,1543810846,86,69.7,170.27,-2.78,19.8
316,saint george,20,GR,1543805400,64,39.45,22.34,37.4,2.91
317,shenkursk,76,RU,1543810921,78,62.11,42.91,24.09,6.49
318,dawei,8,MM,1543810350,77,14.07,98.19,83.0,2.35
319,ontario,1,US,1543809480,61,34.07,-117.65,59.0,1.12
320,bonavista,0,CA,1543810120,100,48.65,-53.11,28.55,5.37
321,lalmohan,0,BD,1543810922,78,22.34,90.74,74.99,7.94
322,salamiyah,12,SY,1543810922,90,35.01,37.05,46.55,6.15
323,kharp,92,RU,1543810923,71,66.82,65.8,-1.74,4.03
324,templin,75,DE,1543809000,93,53.12,13.5,51.8,8.05
325,winslow,75,GB,1543809360,81,51.94,-0.88,53.6,20.8
326,marfino,90,RU,1543809600,79,56.07,37.56,24.8,11.18
327,elko,90,US,1543809360,77,40.83,-115.76,24.08,4.7
328,montrose,90,AU,1543810500,46,-37.81,145.34,73.4,23.04
329,hami,0,CN,1543810924,47,42.84,93.51,5.87,9.4
330,waipawa,64,NZ,1543810924,73,-39.94,176.59,68.28,10.07
331,port hedland,0,AU,1543807800,51,-20.31,118.58,86.0,18.34
332,birjand,0,IR,1543809600,47,32.86,59.22,37.4,1.9
333,resistencia,0,AR,1543809600,93,-27.45,-58.99,57.2,6.93
334,tianpeng,92,CN,1543810925,100,28.88,112.34,54.78,15.32
335,murashi,88,RU,1543810925,76,59.4,48.97,15.09,6.26
336,torbay,90,CA,1543806000,100,47.66,-52.73,32.0,5.82
337,nuuk,76,GL,1543809000,85,64.17,-51.74,23.0,10.29
338,imbituba,75,BR,1543809600,68,-28.24,-48.67,66.2,6.93
339,tecoanapa,40,MX,1543805340,88,16.99,-99.26,78.8,2.57
340,cody,90,US,1543809360,87,44.53,-109.06,28.4,2.35
341,khani,40,GE,1543809600,93,41.96,42.96,37.4,3.36
342,sitka,48,US,1543809431,82,37.17,-99.65,30.66,8.61
343,yalutorovsk,88,RU,1543810928,84,56.65,66.31,18.92,3.91
344,najran,0,SA,1543806000,62,17.54,44.22,53.6,2.91
345,maumere,32,ID,1543810928,100,-8.63,122.22,84.17,3.58
346,awbari,0,LY,1543810928,72,26.59,12.77,34.71,5.26
347,markova,44,RU,1543810928,77,52.21,104.21,-1.47,4.81
348,san patricio,0,PY,1543810929,56,-26.98,-56.83,62.79,5.37
349,kruisfontein,36,ZA,1543810856,82,-34.0,24.73,62.93,13.98
350,bathsheba,40,BB,1543809600,74,13.22,-59.52,78.8,17.22
351,hovd,0,NO,1543809000,86,63.83,10.7,41.0,8.05
352,cudahy,1,US,1543809480,36,33.96,-118.19,59.0,5.82
353,madang,12,PG,1543810930,81,-5.21,145.81,85.56,4.92
354,zhezkazgan,8,KZ,1543806000,84,47.8,67.71,-0.41,8.95
355,viedma,8,AR,1543810930,41,-40.81,-62.99,54.78,1.79
356,santa isabel do rio negro,12,BR,1543810930,63,-0.41,-65.02,83.36,7.38
357,norman wells,5,CA,1543806000,83,65.28,-126.83,-5.81,3.36
358,gat,0,SN,1543809600,28,14.69,-16.54,73.4,9.17
359,san estanislao,0,PY,1543810931,54,-24.67,-56.44,65.13,8.39
360,lazaro cardenas,5,MX,1543809180,35,28.39,-105.62,55.4,4.7
361,kimbe,24,PG,1543810932,94,-5.56,150.15,85.88,6.15
362,keti bandar,0,PK,1543810932,100,24.14,67.45,74.81,9.95
363,wanaka,36,NZ,1543810932,48,-44.7,169.14,68.28,4.14
364,nyanguge,40,TZ,1543806000,88,-2.54,33.2,71.6,9.17
365,takapau,64,NZ,1543810932,73,-40.02,176.35,68.28,10.07
366,ostrovnoy,92,RU,1543810933,94,68.05,39.51,23.06,17.22
367,dunedin,12,NZ,1543810933,76,-45.87,170.5,67.61,11.41
368,burnie,48,AU,1543810933,100,-41.05,145.91,56.81,36.8
369,provideniya,75,RU,1543809600,79,64.42,-173.23,26.6,13.42
370,rechitsy,90,RU,1543809600,79,55.6,38.46,24.8,8.95
371,mocuba,0,MZ,1543810934,85,-16.84,36.99,61.22,2.57
372,tsabong,32,BW,1543810934,15,-26.02,22.4,64.55,9.62
373,leningradskiy,76,RU,1543810934,100,69.38,178.42,7.71,36.13
374,farafangana,20,MG,1543810934,100,-22.82,47.83,75.17,5.59
375,neryungri,68,RU,1543810934,31,56.66,124.71,-23.97,18.79
376,anta,20,PE,1543809600,57,-13.47,-72.15,51.8,2.01
377,aanekoski,0,FI,1543809000,85,62.6,25.73,24.8,9.17
378,constitucion,5,MX,1543804980,43,23.99,-104.67,55.4,6.93
379,barra do garcas,92,BR,1543810936,97,-15.89,-52.26,71.88,6.15
380,misratah,88,LY,1543810936,97,32.38,15.09,64.68,15.43
381,tuy hoa,100,VN,1543810936,100,13.08,109.3,76.34,7.94
382,vicksburg,1,US,1543809300,87,32.35,-90.88,51.08,2.35
383,puerto el triunfo,20,SV,1543809000,100,13.27,-88.55,73.4,3.36
384,tamalin,0,MX,1543810937,88,21.35,-97.8,72.96,7.38
385,marondera,0,ZW,1543810937,88,-18.19,31.55,56.36,3.58
